1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
131	29.711783	10.570852	0.323488	0.136827	102.1
132	29.557422	10.714232	0.322026	0.124417	87.0
133	29.510623	10.726326	0.321903	0.123524	90.2
134	29.750563	10.708155	0.322087	0.119887	86.8
135	29.844001	10.707175	0.322097	0.145386	86.4
136	29.808857	10.882296	0.320328	0.139386	87.5
137	29.265899	11.053155	0.318621	0.117661	85.7
138	29.543574	11.104105	0.318115	0.126300	86.1
139	30.029111	11.090424	0.318251	0.136779	86.6
140	29.674104	11.188678	0.317279	0.124254	85.9
141	29.241649	11.311772	0.316071	0.120217	85.0
142	29.725416	11.389308	0.315314	0.110020	85.2
143	29.741955	11.376524	0.315438	0.131591	89.1
144	29.895170	11.400661	0.315203	0.140377	89.2
145	30.044811	11.578178	0.313486	0.118104	88.9
146	29.647331	11.952733	0.309923	0.150052	87.3
147	29.471882	12.040185	0.309102	0.138031	87.6
148	29.738908	12.643113	0.303563	0.126869	87.3
149	29.376817	12.649151	0.303508	0.109221	86.5
150	29.761965	12.671299	0.303309	0.166069	89.7
151	30.272424	12.763808	0.302478	0.134448	86.8
152	29.726111	13.101763	0.299480	0.130178	87.3
153	30.072532	13.127232	0.299257	0.137035	87.6
154	29.893604	13.124945	0.299277	0.118836	90.6
155	30.006780	13.119231	0.299327	0.133472	88.0
156	29.315539	13.126770	0.299261	0.111772	88.7
157	29.593589	13.168099	0.298899	0.137449	86.5
158	29.960903	13.140712	0.299138	0.157738	87.6
159	29.624553	13.125037	0.299276	0.139007	86.6
160	29.861390	13.149490	0.299062	0.144491	87.0
161	29.700353	13.484082	0.296160	0.135479	87.9
162	29.840635	13.782568	0.293618	0.124017	87.2
163	29.943328	13.744773	0.293938	0.118209	87.9
164	29.681266	13.915211	0.292503	0.129797	87.3
165	30.120545	14.011742	0.291696	0.119169	86.3
166	29.645649	14.036575	0.291490	0.107185	89.3
167	29.458596	14.037387	0.291483	0.129610	88.7
168	30.039694	14.071301	0.291201	0.140354	88.2
169	29.353155	14.255705	0.289678	0.128132	87.6
170	29.695753	14.459890	0.288010	0.121317	88.5
171	29.906575	14.449017	0.288098	0.131765	86.0
172	29.716540	14.519733	0.287525	0.105290	87.4
173	29.553828	14.655002	0.286434	0.117765	87.1
174	29.828520	14.968872	0.283934	0.136934	87.5
175	29.763430	15.295536	0.281379	0.117860	86.8
176	29.743251	15.325990	0.281143	0.129361	86.4
177	30.006891	15.434854	0.280303	0.131115	92.6
178	29.645997	15.459965	0.280110	0.122439	88.4
179	29.717932	15.522817	0.279628	0.123299	89.0
180	29.470128	15.545905	0.279451	0.142665	87.2
181	30.167782	15.935438	0.276504	0.113597	87.4
182	29.437502	15.931208	0.276536	0.109503	87.7
183	29.814507	16.258641	0.274105	0.119352	86.1
184	29.473814	16.503696	0.272314	0.114995	88.4
185	30.080439	16.635529	0.271361	0.140335	86.6
186	29.476021	16.969605	0.268973	0.125004	87.8
187	29.853327	17.292643	0.266704	0.126337	88.0
188	29.689250	17.272180	0.266847	0.141274	85.4
189	29.940212	17.285308	0.266755	0.155046	89.9
190	29.794007	17.800157	0.263215	0.119358	87.6
191	29.543156	17.794414	0.263254	0.130338	88.0
192	29.748514	17.812908	0.263129	0.118276	86.6
193	29.995376	17.844781	0.262913	0.133013	86.6
194	30.073878	17.994345	0.261905	0.119339	86.9
195	29.887695	18.231633	0.260321	0.121398	85.1
196	29.493379	18.276941	0.260020	0.126090	85.1
197	29.986168	18.335379	0.259634	0.109095	85.6
198	29.702965	18.296671	0.259890	0.151052	86.3
199	30.164343	18.426278	0.259035	0.122198	84.5
200	30.041494	18.462524	0.258797	0.133560	87.2
201	29.796452	18.508954	0.258493	0.123310	89.6
202	30.275317	18.521812	0.258409	0.122002	87.6
203	29.329264	18.534739	0.258325	0.110521	86.1
204	29.674630	18.736282	0.257014	0.136590	85.6
205	29.603183	18.716299	0.257144	0.111786	86.6
206	30.001349	18.678865	0.257386	0.134757	86.1
207	29.828007	18.666526	0.257466	0.134636	86.9
208	30.005609	18.752353	0.256911	0.118471	85.3
209	29.842797	18.782728	0.256714	0.119173	86.2
210	29.522815	18.838947	0.256352	0.130792	85.3
211	29.839326	18.852181	0.256267	0.122768	85.0
212	29.877075	18.886603	0.256046	0.140041	90.3
213	29.928459	18.969392	0.255515	0.124845	86.6
214	29.710590	19.202796	0.254032	0.124439	86.9
215	29.772618	19.177781	0.254190	0.133947	86.0
216	29.928321	19.266680	0.253629	0.123056	85.6
217	29.505027	19.411046	0.252723	0.114368	87.8
218	29.831057	19.430778	0.252600	0.145545	84.9
219	29.926452	19.390683	0.252850	0.124275	85.7
220	29.897968	19.686781	0.251010	0.123434	86.2
221	29.555803	19.672212	0.251100	0.125452	86.3
222	29.884895	19.676550	0.251073	0.135529	86.4
223	29.905208	19.796583	0.250335	0.133657	87.0
224	29.528316	19.759040	0.250565	0.127793	88.7
225	29.900043	19.747006	0.250639	0.119252	87.7
226	29.855633	19.841044	0.250062	0.143211	91.7
